1,0,7,年,0,2,月, ,2,8,8,7, ,台,新,金, , , , , , , , , , , ,各,日,成,交,資,訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/02/01,"5,576,342","81,852,499",14.70,14.75,14.60,14.70, 0.00,"1,418"
107/02/02,"9,692,472","141,185,287",14.60,14.65,14.50,14.60,-0.10,"2,256"
107/02/05,"15,223,350","218,201,067",14.35,14.40,14.25,14.30,-0.30,"3,892"
107/02/06,"66,346,261","907,290,416",14.00,14.05,13.45,13.45,-0.85,"12,410"
107/02/07,"52,310,916","717,461,651",13.85,13.95,13.45,13.50,+0.05,"8,855"
107/02/08,"17,308,035","237,294,437",13.65,13.80,13.65,13.65,+0.15,"3,994"
107/02/09,"22,895,229","310,337,326",13.40,13.70,13.35,13.60,-0.05,"4,292"
107/02/12,"15,690,344","215,652,686",13.75,13.80,13.70,13.70,+0.10,"2,756"
107/02/21,"17,136,743","238,568,752",13.95,14.00,13.80,14.00,+0.30,"4,313"
107/02/22,"16,344,992","227,149,338",13.95,14.00,13.85,13.90,-0.10,"2,891"
107/02/23,"15,999,747","226,271,943",14.00,14.25,14.00,14.20,+0.30,"5,081"
107/02/26,"15,496,322","219,327,838",14.30,14.30,14.05,14.10,-0.10,"3,895"
107/02/27,"18,670,378","264,373,405",14.20,14.25,14.05,14.20,+0.10,"3,577"
